migration_id,module,filename_part,tenant_count,error_category,root_cause
module/platform-core/000_extracted_from_000_inline_baseline,platform-core,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/platform-core/019_file_storage_table,platform-core,019_file_storage_table,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/020_row_level_security,platform-core,020_row_level_security,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/024_rls_vector_stores,platform-core,024_rls_vector_stores,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/034_module_config_runtime,platform-core,034_module_config_runtime,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/035_risk_module_config_seed,platform-core,035_risk_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/036_compliance_module_config_seed,platform-core,036_compliance_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/037_platform_runtime_tables,platform-core,037_platform_runtime_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/039_module_config_audit_hardening,platform-core,039_module_config_audit_hardening,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/041_module_entitlement_audit,platform-core,041_module_entitlement_audit,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/042_tenant_module_entitlements_alignment,platform-core,042_tenant_module_entitlements_alignment,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/099_extracted_from_099_bootstrap_tenant_domain_tables,platform-core,099_extracted_from_099_bootstrap_tenant_domain_tables,1,OTHER,"see raw error"
module/platform-core/129_ai_rls_enablement,platform-core,129_ai_rls_enablement,2,OTHER,"see raw error"
module/platform-core/413_action_module_config_seed,platform-core,413_action_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/414_agrc-engine_module_config_seed,platform-core,414_agrc-engine_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/415_ai_module_config_seed,platform-core,415_ai_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/416_ai-governance_module_config_seed,platform-core,416_ai-governance_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/417_analytics_module_config_seed,platform-core,417_analytics_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/418_asset_module_config_seed,platform-core,418_asset_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/419_attestation_module_config_seed,platform-core,419_attestation_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/420_audit_module_config_seed,platform-core,420_audit_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/421_bcp_module_config_seed,platform-core,421_bcp_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/422_benchmarks_module_config_seed,platform-core,422_benchmarks_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/423_controls_module_config_seed,platform-core,423_controls_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/424_dashboard_module_config_seed,platform-core,424_dashboard_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/425_dashboard-editor_module_config_seed,platform-core,425_dashboard-editor_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/426_dora_module_config_seed,platform-core,426_dora_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/427_evidence_module_config_seed,platform-core,427_evidence_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/428_exception_module_config_seed,platform-core,428_exception_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/429_executive_module_config_seed,platform-core,429_executive_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/430_fitch_module_config_seed,platform-core,430_fitch_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/431_governance_module_config_seed,platform-core,431_governance_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/432_governance-ai_module_config_seed,platform-core,432_governance-ai_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/433_governance-os_module_config_seed,platform-core,433_governance-os_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/434_grc-query_module_config_seed,platform-core,434_grc-query_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/435_inbox_module_config_seed,platform-core,435_inbox_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/436_incident_module_config_seed,platform-core,436_incident_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/437_integrations_module_config_seed,platform-core,437_integrations_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/438_issues_module_config_seed,platform-core,438_issues_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/439_journey_module_config_seed,platform-core,439_journey_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/440_knowledge_module_config_seed,platform-core,440_knowledge_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/441_ksa-regulatory_module_config_seed,platform-core,441_ksa-regulatory_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/442_local-knowledge_module_config_seed,platform-core,442_local-knowledge_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/443_mcp_module_config_seed,platform-core,443_mcp_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/444_mobile_module_config_seed,platform-core,444_mobile_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/445_notification_module_config_seed,platform-core,445_notification_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/446_onboarding_module_config_seed,platform-core,446_onboarding_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/447_operating-cockpit_module_config_seed,platform-core,447_operating-cockpit_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/448_packs_module_config_seed,platform-core,448_packs_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/449_platform-onboarding_module_config_seed,platform-core,449_platform-onboarding_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/450_playbooks_module_config_seed,platform-core,450_playbooks_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/451_policy_module_config_seed,platform-core,451_policy_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/452_portals_module_config_seed,platform-core,452_portals_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/453_privacy_module_config_seed,platform-core,453_privacy_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/454_proactive-leadership_module_config_seed,platform-core,454_proactive-leadership_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/455_qiyas_module_config_seed,platform-core,455_qiyas_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/456_records_module_config_seed,platform-core,456_records_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/457_remediation_module_config_seed,platform-core,457_remediation_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/458_reporting_module_config_seed,platform-core,458_reporting_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/459_team_module_config_seed,platform-core,459_team_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/460_training_module_config_seed,platform-core,460_training_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/461_vendor_module_config_seed,platform-core,461_vendor_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/462_widgets_module_config_seed,platform-core,462_widgets_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/463_workflow_module_config_seed,platform-core,463_workflow_module_config_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/platform-core/480_douhan_consult_tenant_seed,platform-core,480_douhan_consult_tenant_seed,10,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/playbooks/001_initial_tables,playbooks,001_initial_tables,1,OTHER,"see raw error"
module/playbooks/002_enterprise_expansion,playbooks,002_enterprise_expansion,1,OTHER,"see raw error"
module/playbooks/027_extracted_from_027_tenant_schema_tables,playbooks,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/policy/001_policy_tables,policy,001_policy_tables,1,OTHER,"see raw error"
module/policy/002_enterprise_expansion,policy,002_enterprise_expansion,1,OTHER,"see raw error"
module/policy/027_extracted_from_027_tenant_schema_tables,policy,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/portals/001_portals_tables,portals,001_portals_tables,1,OTHER,"see raw error"
module/portals/002_enterprise_expansion,portals,002_enterprise_expansion,1,OTHER,"see raw error"
module/portals/027_extracted_from_027_tenant_schema_tables,portals,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/privacy/001_initial_tables,privacy,001_initial_tables,1,OTHER,"see raw error"
module/privacy/002_enterprise_expansion,privacy,002_enterprise_expansion,1,OTHER,"see raw error"
module/privacy/027_extracted_from_027_tenant_schema_tables,privacy,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
